User ID,Amount,Category,Date,Month
user123,74.79,Health,2024-01-01,January 2024
user123,85.57,Shopping,2024-01-01,January 2024
user123,55.9,Dining,2024-01-01,January 2024
user123,103.62,Dining,2024-01-01,January 2024
user123,61.32,Shopping,2024-01-01,January 2024
user123,99.88,Groceries,2024-01-01,January 2024
user123,117.65,Miscellaneous,2024-01-01,January 2024
user123,73.31,Dining,2024-01-01,January 2024
user123,167.36,Utilities,2024-01-01,January 2024
user123,193.08,Utilities,2024-01-01,January 2024
user123,193.9,Groceries,2024-01-01,January 2024
user123,60.78,Health,2024-01-01,January 2024
user123,190.35,Transport,2024-01-01,January 2024
user123,94.14,Miscellaneous,2024-01-01,January 2024
user123,46.18,Transport,2024-01-01,January 2024
user123,12.29,Entertainment,2024-01-02,January 2024
user123,124.45,Miscellaneous,2024-01-02,January 2024
user123,160.42,Transport,2024-01-02,January 2024
user123,197.99,Health,2024-01-02,January 2024
user123,104.23,Entertainment,2024-01-02,January 2024
user123,94.61,Health,2024-01-02,January 2024
user123,120.14,Shopping,2024-01-02,January 2024
user123,76.83,Transport,2024-01-02,January 2024
user123,182.68,Health,2024-01-02,January 2024
user123,193.07,Entertainment,2024-01-02,January 2024
user123,22.13,Groceries,2024-01-02,January 2024
user123,179.38,Dining,2024-01-02,January 2024
user123,89.21,Transport,2024-01-02,January 2024
user123,145.17,Dining,2024-01-02,January 2024
user123,75.62,Utilities,2024-01-02,January 2024
user123,180.86,Groceries,2024-01-03,January 2024
user123,180.68,Entertainment,2024-01-03,January 2024
user123,157.34,Dining,2024-01-03,January 2024
user123,100.12,Shopping,2024-01-03,January 2024
user123,43.38,Utilities,2024-01-03,January 2024
user123,178.38,Utilities,2024-01-03,January 2024
user123,190.35,Shopping,2024-01-03,January 2024
user123,157.32,Dining,2024-01-03,January 2024
user123,125.39,Miscellaneous,2024-01-03,January 2024
user123,64.7,Utilities,2024-01-03,January 2024
user123,121.12,Transport,2024-01-03,January 2024
user123,22.41,Transport,2024-01-03,January 2024
user123,195.3,Miscellaneous,2024-01-03,January 2024
user123,140.26,Health,2024-01-03,January 2024
user123,194.51,Miscellaneous,2024-01-04,January 2024
user123,109.1,Entertainment,2024-01-04,January 2024
user123,197.28,Dining,2024-01-04,January 2024
user123,183.86,Health,2024-01-04,January 2024
user123,91.26,Miscellaneous,2024-01-04,January 2024
user123,132.4,Shopping,2024-01-04,January 2024
